Gene Symbol,Protein Name
AKT1,RAC-alpha serine/threonine-protein kinase (AKT1)
ARID1A,AT-rich interactive domain-containing protein 1A
ATRX,Alpha-thalassemia/mental retardation syndrome X-linked protein (ATRX)
BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1
BRAF,Serine/threonine-protein kinase B-Raf
CDKN2A,Cyclin-dependent kinase inhibitor 2A (p16^INK4a^ / p14^ARF^)
CDKN2B,Cyclin-dependent kinase inhibitor 2B (p15^INK4b^)
CIC,Capicua homolog
EGFR,Epidermal growth factor receptor
FUBP1,Far upstream element-binding protein 1
IDH1,"Isocitrate dehydrogenase [NADP], cytoplasmic"
IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial"
KLF4,Krüppel-like factor 4
NF2,Merlin (Neurofibromin 2)
PDGFRA,Platelet-derived growth factor receptor alpha
PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha"
PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha
POLR2A,DNA-directed RNA polymerase II subunit RPB1
PTEN,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
TP53,Cellular tumor antigen p53
TERT,Telomerase reverse transcriptase
SMO,Smoothened homolog
SMARCB1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (INI1/SNF5/BAF47)
SUFU,Suppressor of fused homolog
TRAF7,TNF receptor-associated factor 7
